Project Name,Package Name,Type Name,Method Name,Code Smell
Assignment-1,forge,LobbyPlayer,hashCode,Magic Number
Assignment-1,forge,StaticData,StaticData,Long Parameter List
Assignment-1,forge,StaticData,StaticData,Long Statement
Assignment-1,forge,StaticData,StaticData,Long Identifier
Assignment-1,forge,StaticData,StaticData,Long Parameter List
Assignment-1,forge,StaticData,StaticData,Long Statement
Assignment-1,forge,StaticData,StaticData,Complex Conditional
Assignment-1,forge,StaticData,StaticData,Complex Method
Assignment-1,forge,StaticData,StaticData,Long Identifier
Assignment-1,forge,StaticData,StaticData,Long Parameter List
Assignment-1,forge,StaticData,getCardFromSet,Long Parameter List
Assignment-1,forge,StaticData,getCardFromSupportedEditions,Long Parameter List
Assignment-1,forge,StaticData,getTournamentPacks,Long Statement
Assignment-1,forge,StaticData,getSpecialBoosters,Long Statement
Assignment-1,forge,StaticData,getPrintSheets,Long Statement
Assignment-1,forge,StaticData,allowCustomCardsInDecksConformance,Long Identifier
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Parameter List
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Identifier
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Parameter List
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Identifier
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Parameter List
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,getAlternativeCardPrint,Long Statement
Assignment-1,forge,StaticData,searchAlternativeCardCandidate,Long Parameter List
Assignment-1,forge,StaticData,searchAlternativeCardCandidate,Long Statement
Assignment-1,forge,StaticData,searchAlternativeCardCandidate,Long Statement
Assignment-1,forge,StaticData,getReferenceDate,Magic Number
Assignment-1,forge,StaticData,getReferenceDate,Magic Number
Assignment-1,forge,StaticData,tryToGetCardPrintFromExpansionSet,Long Statement
Assignment-1,forge,StaticData,tryToGetCardPrintWithMatchingFrame,Long Parameter List
Assignment-1,forge,StaticData,tryToGetCardPrintWithMatchingFrame,Long Statement
Assignment-1,forge,StaticData,getCardArtPreference,Long Statement
Assignment-1,forge,StaticData,getCardArtPreference,Long Statement
Assignment-1,forge,StaticData,audit,Complex Method
Assignment-1,forge,StaticData,audit,Long Method
Assignment-1,forge,StaticData,audit,Long Statement
Assignment-1,forge,FTrace,dump,Long Statement
Assignment-1,forge,ImageKeys,initializeDirs,Long Parameter List
Assignment-1,forge,ImageKeys,getImageFile,Complex Method
Assignment-1,forge,ImageKeys,getImageFile,Long Method
Assignment-1,forge,ImageKeys,getSetFolder,Long Statement
Assignment-1,forge,ImageKeys,setLookUpFile,Complex Method
Assignment-1,forge,ImageKeys,findFile,Complex Method
Assignment-1,forge,ImageKeys,hasImage,Complex Method
Assignment-1,forge,ImageKeys,hasImage,Magic Number
Assignment-1,forge,CardStorageReader,CardStorageReader,Long Statement
Assignment-1,forge,CardStorageReader,CardStorageReader,Long Statement
Assignment-1,forge,CardStorageReader,transformName,Complex Conditional
Assignment-1,forge,CardStorageReader,transformName,Complex Conditional
Assignment-1,forge,CardStorageReader,loadCards,Long Statement
Assignment-1,forge,CardStorageReader,loadCards,Long Statement
Assignment-1,forge,CardStorageReader,loadCards,Magic Number
Assignment-1,forge,CardStorageReader,loadCards,Magic Number
Assignment-1,forge,CardStorageReader,loadCards,Magic Number
Assignment-1,forge,CardStorageReader,executeLoadTask,Magic Number
Assignment-1,forge,GuiDownloadSetPicturesLQTest,g,Magic Number
Assignment-1,forge,CardRankerTest,testRank,Magic Number
Assignment-1,forge,CardRankerTest,testRank,Magic Number
Assignment-1,forge,CardRankerTest,testRank,Magic Number
Assignment-1,forge,PanelTest,phaseTest1,Magic Number
Assignment-1,forge,PanelTest,phaseTest1,Magic Number
Assignment-1,forge,PanelTest,phaseTest1,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,PanelTest,jbInit,Magic Number
Assignment-1,forge,RunTest,test,Magic Number
Assignment-1,forge,RunTest,test,Magic Number
Assignment-1,forge,RunTest,test,Magic Number
Assignment-1,forge,GuiDownloadPicturesLQTest,guiDownloadPicturesTest1,Magic Number
Assignment-1,forge,FCollectionTest,testCompletableFuture,Magic Number
Assignment-1,forge,FCollectionTest,testCompletableFuture,Magic Number
Assignment-1,forge,FCollectionTest,testCompletableFuture,Magic Number
Assignment-1,forge,BoosterDraft1Test,boosterDraft1Test1,Magic Number
Assignment-1,forge,BoosterDraftTest,getDecks,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Complex Conditional
Assignment-1,forge,ImageCache,getOriginalImageInternal,Complex Conditional
Assignment-1,forge,ImageCache,getOriginalImageInternal,Complex Method
Assignment-1,forge,ImageCache,getOriginalImageInternal,Long Method
Assignment-1,forge,ImageCache,getOriginalImageInternal,Long Statement
Assignment-1,forge,ImageCache,getOriginalImageInternal,Long Statement
Assignment-1,forge,ImageCache,getOriginalImageInternal,Long Statement
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,getOriginalImageInternal,Magic Number
Assignment-1,forge,ImageCache,isWhite,Magic Number
Assignment-1,forge,ImageCache,isWhite,Magic Number
Assignment-1,forge,ImageCache,isWhite,Magic Number
Assignment-1,forge,ImageCache,isWhiteBorderSet,Long Statement
Assignment-1,forge,ImageCache,isSupportedImageSize,Magic Number
Assignment-1,forge,ImageCache,isSupportedImageSize,Magic Number
Assignment-1,forge,ImageCache,scaleImage,Complex Method
Assignment-1,forge,ImageCache,scaleImage,Long Parameter List
Assignment-1,forge,ImageCache,getCroppedArt,Long Parameter List
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,ImageCache,getCroppedArt,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Long Statement
Assignment-1,forge,GuiDesktop,createLayeredImage,Long Statement
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,createLayeredImage,Magic Number
Assignment-1,forge,GuiDesktop,showOptionDialog,Long Parameter List
Assignment-1,forge,GuiDesktop,showInputDialog,Long Parameter List
Assignment-1,forge,GuiDesktop,getChoices,Long Parameter List
Assignment-1,forge,GuiDesktop,order,Long Parameter List
Assignment-1,forge,GuiDesktop,showSpellShop,Long Statement
Assignment-1,forge,GuiDesktop,initializeScreenScale,Long Statement
Assignment-1,forge,Forge,getApp,Long Parameter List
Assignment-1,forge,Forge,create,Complex Conditional
Assignment-1,forge,Forge,create,Complex Method
Assignment-1,forge,Forge,create,Long Statement
Assignment-1,forge,Forge,create,Long Statement
Assignment-1,forge,Forge,create,Long Statement
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,create,Magic Number
Assignment-1,forge,Forge,afterDbLoaded,Complex Method
Assignment-1,forge,Forge,afterDbLoaded,Long Statement
Assignment-1,forge,Forge,setCursor,Complex Conditional
Assignment-1,forge,Forge,setCursor,Complex Method
Assignment-1,forge,Forge,setCursor,Long Statement
Assignment-1,forge,Forge,adjustHeightModifier,Magic Number
Assignment-1,forge,Forge,adjustHeightModifier,Magic Number
Assignment-1,forge,Forge,adjustHeightModifier,Magic Number
Assignment-1,forge,Forge,adjustHeightModifier,Magic Number
Assignment-1,forge,Forge,back,Complex Conditional
Assignment-1,forge,Forge,back,Magic Number
Assignment-1,forge,Forge,restart,Long Statement
Assignment-1,forge,Forge,exit,Long Statement
Assignment-1,forge,Forge,openScreen,Complex Method
Assignment-1,forge,Forge,openScreen,Magic Number
Assignment-1,forge,Forge,run,Magic Number
Assignment-1,forge,Forge,takeScreenshot,Long Statement
