Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Assignment-1,forge.ios,Main,createApplication,9,1,0
Assignment-1,forge.ios,Main,main,5,1,1
Assignment-1,forge.ios,Main,hasContents,3,1,0
Assignment-1,forge.ios,Main,getContents,3,1,0
Assignment-1,forge.ios,Main,setContents,3,1,1
Assignment-1,forge.ios,Main,isConnectedToInternet,3,1,0
Assignment-1,forge.ios,Main,isConnectedToWifi,3,1,0
Assignment-1,forge.ios,Main,getDownloadsDir,3,1,0
Assignment-1,forge.ios,Main,getVersionString,3,1,0
Assignment-1,forge.ios,Main,getLatestChanges,3,1,3
Assignment-1,forge.ios,Main,getReleaseTag,3,1,1
Assignment-1,forge.ios,Main,openFile,3,1,1
Assignment-1,forge.ios,Main,setLandscapeMode,2,1,1
Assignment-1,forge.ios,Main,preventSystemSleep,2,1,1
Assignment-1,forge.ios,Main,isTablet,3,1,0
Assignment-1,forge.ios,Main,restart,2,1,0
Assignment-1,forge.ios,Main,exit,2,1,0
Assignment-1,forge.ios,Main,closeSplashScreen,2,1,0
Assignment-1,forge.ios,Main,convertToJPEG,2,1,2
Assignment-1,forge.ios,Main,getRealScreenSize,3,1,1
Assignment-1,forge.ios,Main,getGamepads,3,1,0
Assignment-1,forge.ios,IOSClipboard,hasContents,3,1,0
Assignment-1,forge.ios,IOSClipboard,getContents,3,1,0
Assignment-1,forge.ios,IOSClipboard,setContents,3,1,1
Assignment-1,forge.ios,IOSAdapter,isConnectedToInternet,3,1,0
Assignment-1,forge.ios,IOSAdapter,isConnectedToWifi,3,1,0
Assignment-1,forge.ios,IOSAdapter,getDownloadsDir,3,1,0
Assignment-1,forge.ios,IOSAdapter,getVersionString,3,1,0
Assignment-1,forge.ios,IOSAdapter,getLatestChanges,3,1,3
Assignment-1,forge.ios,IOSAdapter,getReleaseTag,3,1,1
Assignment-1,forge.ios,IOSAdapter,openFile,3,1,1
Assignment-1,forge.ios,IOSAdapter,setLandscapeMode,2,1,1
Assignment-1,forge.ios,IOSAdapter,preventSystemSleep,2,1,1
Assignment-1,forge.ios,IOSAdapter,isTablet,3,1,0
Assignment-1,forge.ios,IOSAdapter,restart,2,1,0
Assignment-1,forge.ios,IOSAdapter,exit,2,1,0
