Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Assignment-1,forge.ios,Main,0,0,21,20,71,21,0,0,-1.0,1,2
Assignment-1,forge.ios,IOSClipboard,0,0,3,3,11,3,0,0,-1.0,0,0
Assignment-1,forge.ios,IOSAdapter,0,0,16,16,44,16,0,0,-1.0,0,0
Assignment-1,forge.token,TokenDb,3,0,19,19,83,22,0,1,0.6842105263157895,2,3
Assignment-1,forge.token,ITokenDatabase,0,0,15,0,17,15,1,0,-1.0,0,2
Assignment-1,forge,LobbyPlayer,4,0,12,12,68,19,0,0,0.4166666666666667,46,1
Assignment-1,forge,StaticData,31,0,68,61,730,187,0,0,0.20588235294117646,81,14
Assignment-1,forge,FTrace,5,0,7,6,51,11,0,0,0.0,2,1
Assignment-1,forge,ImageKeys,39,23,15,12,403,99,0,0,0.13333333333333333,46,7
Assignment-1,forge,MulliganDefs,1,0,3,3,25,4,0,0,0.6666666666666666,5,1
Assignment-1,forge,CardStorageReader,13,1,20,6,328,60,0,0,0.35,6,8
Assignment-1,forge,ProgressObserver,1,0,4,2,11,4,0,0,-1.0,3,1
Assignment-1,forge,GuiDownloadSetPicturesLQTest,0,0,1,1,11,1,0,0,-1.0,0,0
Assignment-1,forge,CardRankerTest,0,0,3,0,36,4,0,0,-1.0,0,6
Assignment-1,forge,PanelTest,3,0,3,2,46,3,0,0,0.6666666666666666,1,2
Assignment-1,forge,RunTest,0,0,2,0,32,3,0,0,-1.0,0,2
Assignment-1,forge,GuiDownloadPicturesLQTest,0,0,1,1,11,1,0,0,-1.0,0,0
Assignment-1,forge,TinyTest,0,0,1,1,13,1,0,0,-1.0,0,0
Assignment-1,forge,GuiProgressBarWindowTest,0,0,1,1,10,1,0,0,-1.0,0,0
Assignment-1,forge,FCollectionTest,0,0,1,0,22,4,0,0,-1.0,0,1
Assignment-1,forge,BoosterDraft1Test,0,0,1,1,19,3,0,0,-1.0,0,2
Assignment-1,forge,BoosterDraftTest,2,0,17,17,67,17,0,0,0.8823529411764706,0,8
Assignment-1,forge,ImageCache,3,0,19,14,305,61,0,0,0.21052631578947367,45,16
Assignment-1,forge,CachedCardImage,5,0,3,3,25,5,0,0,0.6666666666666666,3,4
Assignment-1,forge,Singletons,3,0,4,3,36,7,0,0,0.5,34,4
Assignment-1,forge,GuiDesktop,2,0,44,43,195,52,0,0,1.0,0,23
Assignment-1,forge,ImageLoader,0,0,1,1,22,5,0,0,-1.0,0,4
