Rank|Name|Rarity|Set
#1|Black Lotus|C|CUSTOM
#2|Time Walk|C|CUSTOM
#3|Mox Sapphire|C|CUSTOM
#4|Ancestral Recall|C|CUSTOM
#5|Sol Ring|C|CUSTOM
#6|Mox Jet|C|CUSTOM
#7|Mox Pearl|C|CUSTOM
#8|Mox Ruby|C|CUSTOM
#9|Mox Emerald|C|CUSTOM
#10|Mana Crypt|C|CUSTOM
#11|Time Vault|C|CUSTOM
#12|Mox Poison|C|CUSTOM
#13|The One Ring|C|CUSTOM
#14|Blacker Lotus|C|CUSTOM
#15|Contract from Below|C|CUSTOM
#16|The Vanquisher|C|CUSTOM
#17|The Explorer|C|CUSTOM
#18|The Harvester|C|CUSTOM
#19|Jeweled Lotus|C|CUSTOM
#20|The Warrior|C|CUSTOM
#21|Mana Vault|C|CUSTOM
#22|Bow of the Hunter|C|CUSTOM
#23|Orcish Bowmasters|C|CUSTOM
#24|Jack-in-the-Mox|C|CUSTOM
#25|The Secret Lair|C|CUSTOM
#26|Axe of the Warmonger|C|CUSTOM
#27|Mana Drain|C|CUSTOM
#28|Mox Diamond|C|CUSTOM
#29|Advantageous Proclamation|C|CUSTOM
#30|Demonic Tutor|C|CUSTOM
#31|Force of Will|C|CUSTOM
#32|Ragavan, Nimble Pilferer|C|CUSTOM
#33|Sentinel Dispatch|C|CUSTOM
#34|White Plume Adventurer|C|CUSTOM
#35|Double Stroke|C|CUSTOM
#36|Squee|C|CUSTOM
#37|Hullbreacher|C|CUSTOM
#38|Power Play|C|CUSTOM
#39|Library of Alexandria|C|CUSTOM
#40|Oracle of the Alpha|C|CUSTOM
#41|Timetwister|C|CUSTOM
#42|Tolarian Academy|C|CUSTOM
#43|Minsc & Boo, Timeless Heroes|C|CUSTOM
#44|Fable of the Mirror-Breaker|C|CUSTOM
#45|Reflection of Kiki-Jiki|C|CUSTOM
#46|Swords to Plowshares|C|CUSTOM
#47|Polluted Delta|C|CUSTOM
#48|Urza's Saga|C|CUSTOM
#49|Thoughtseize|C|CUSTOM
#50|Chrome Mox|C|CUSTOM
#51|Strip Mine|C|CUSTOM
#52|Scalding Tarn|C|CUSTOM
#53|Unexpected Potential|C|CUSTOM
#54|Sheoldred, the Apocalypse|C|CUSTOM
#55|Tamiyo, Inquisitive Student|C|CUSTOM
#56|Tamiyo, Seasoned Scholar|C|CUSTOM
#57|Flooded Strand|C|CUSTOM
#58|Vampiric Tutor|C|CUSTOM
#59|Oko, Thief of Crowns|C|CUSTOM
#60|Forth Eorlingas!|C|CUSTOM
#61|Standard Procedure|C|CUSTOM
#62|Karakas|C|CUSTOM
#63|Brago's Favor|C|CUSTOM
#64|Prismatic Vista|C|CUSTOM
#65|Backup Plan|C|CUSTOM
#66|Demonic Consultation|C|CUSTOM
#67|Arcane Savant|C|CUSTOM
#68|Arcane Signet|C|CUSTOM
#69|Flash|C|CUSTOM
#70|Skullclamp|C|CUSTOM
#71|Arid Mesa|C|CUSTOM
#72|Time Sidewalk|C|CUSTOM
#73|Misty Rainforest|C|CUSTOM
#74|Mirrored Lotus|C|CUSTOM
#75|Chaos Orb|C|CUSTOM
#76|Wheel of Fortune|C|CUSTOM
#77|Reanimate|C|CUSTOM
#78|Seasoned Dungeoneer|C|CUSTOM
#79|Urza, Lord High Artificer|C|CUSTOM
#80|Broadside Bombardiers|C|CUSTOM
#81|Atraxa, Grand Unifier|C|CUSTOM
#82|Verdant Catacombs|C|CUSTOM
#83|Tinker|C|CUSTOM
#84|Underground Sea|C|CUSTOM
#85|Titania|C|CUSTOM
#86|Fierce Guardianship|C|CUSTOM
#87|Bloodstained Mire|C|CUSTOM
#88|Mind Twist|C|CUSTOM
#89|Force of Negation|C|CUSTOM
#90|Inzerva, Master of Insights|C|CUSTOM
#91|Lightning Bolt|C|CUSTOM
#92|Grim Monolith|C|CUSTOM
#93|Remand|C|CUSTOM
#94|Volcanic Island|C|CUSTOM
#95|Ocelot Pride|C|CUSTOM
#96|Summoner's Bond|C|CUSTOM
#97|Starting Town|C|CUSTOM
#98|Lion's Eye Diamond|C|CUSTOM
#99|Animate Dead|C|CUSTOM
#100|Jace, the Mind Sculptor|C|CUSTOM
#101|Windswept Heath|C|CUSTOM
#102|Psychic Frog|C|CUSTOM
#103|Wooded Foothills|C|CUSTOM
#104|Marsh Flats|C|CUSTOM
#105|Lotus Petal|C|CUSTOM
#106|Immediate Action|C|CUSTOM
#107|Command Tower|C|CUSTOM
#108|Nazgûl|C|CUSTOM
#109|Counterspell|C|CUSTOM
#110|Wasteland|C|CUSTOM
#111|Mana Leak|C|CUSTOM
#112|Hanna|C|CUSTOM
#113|Solitude|C|CUSTOM
#114|Underworld Breach|C|CUSTOM
#115|Brain Freeze|C|CUSTOM
#116|Pyrogoyf|C|CUSTOM
#117|Fastbond|C|CUSTOM
#118|The Warmonger|C|CUSTOM
#119|Archon of Cruelty|C|CUSTOM
#120|Fury|C|CUSTOM
#121|Undermountain Adventurer|C|CUSTOM
#122|Dismember|C|CUSTOM
#123|Mox Opal|C|CUSTOM
#124|Stock Up|C|CUSTOM
#125|Caves of Chaos Adventurer|C|CUSTOM
#126|Rhystic Study|C|CUSTOM
#127|Entomb|C|CUSTOM
#128|Secret Summoning|C|CUSTOM
#129|Sheoldred's Terror|C|CUSTOM
#130|Memory Lapse|C|CUSTOM
#131|Expropriate|C|CUSTOM
#132|Teferi, Time Raveler|C|CUSTOM
#133|Wizard's Spellbook|C|CUSTOM
#134|Ancient Tomb|C|CUSTOM
#135|Clocknapper|C|CUSTOM
#136|Time Spiral|C|CUSTOM
#137|Imperial Seal|C|CUSTOM
#138|Marchesa's Surprise Party|C|CUSTOM
#139|Comet, Stellar Pup|C|CUSTOM
#140|Snapcaster Mage|C|CUSTOM
#141|Deflecting Swat|C|CUSTOM
#142|Palace Jailer|C|CUSTOM
#143|Tawnos|C|CUSTOM
#144|The Champion|C|CUSTOM
#145|Mystic Remora|C|CUSTOM
#146|Secrets of Paradise|C|CUSTOM
#147|Wisedrafter's Will|C|CUSTOM
#148|Thrumming Stone|C|CUSTOM
#149|Voltaic Key|C|CUSTOM
#150|Feywild Caretaker|C|CUSTOM
#151|Toralf's Disciple|C|CUSTOM
#152|Narset, Parter of Veils|C|CUSTOM
#153|The Protector|C|CUSTOM
#154|Badlands|C|CUSTOM
#155|Ponder|C|CUSTOM
#156|Smothering Tithe|C|CUSTOM
#157|Miscalculation|C|CUSTOM
#158|Gaea's Cradle|C|CUSTOM
#159|Wrench-Rigger|C|CUSTOM
#160|Mystic Confluence|C|CUSTOM
#161|Jace, Vryn's Prodigy|C|CUSTOM
#162|Jace, Telepath Unbound|C|CUSTOM
#163|Lórien Revealed|C|CUSTOM
#164|Echo of Eons|C|CUSTOM
#165|Cori-Steel Cutter|C|CUSTOM
#166|Snuff Out|C|CUSTOM
#167|Laelia, the Blade Reforged|C|CUSTOM
#168|Mishra's Workshop|C|CUSTOM
#169|Noble Hierarch|C|CUSTOM
#170|Iterative Analysis|C|CUSTOM
#171|Lutri, the Spellchaser|C|CUSTOM
#172|Muzzio's Preparations|C|CUSTOM
