[metadata]
Code=PSLD
Date=2019-12-02
Name=Secret Lair Promos
MciCode=sld
Type=Other

[cards]
501 R Karn, the Great Creator 
502 R Ugin, the Ineffable
503 M Gideon Blackblade
504 U Teyo, the Shieldmage
505 U The Wanderer
506 R Jace, Wielder of Mysteries
507 U Kasmina, Enigmatic Mentor
508 U Narset, Parter of Veils
509 U Davriel, Rogue Shadowmage
510 M Liliana, Dreadhorde General
511 U Ob Nixilis, the Hate-Twisted
512 R Chandra, Fire Artisan
513 U Jaya, Venerated Firemage
514 R Sarkhan the Masterless
515 U Tibalt, Rakish Instigator
516 U Arlinn, Voice of the Pack
517 U Jiang Yanggu, Wildcrafter
518 R Nissa, Who Shakes the World
519 R Vivien, Champion of the Wilds
520 R Ajani, the Greathearted
521 R Domri, Anarch of Bolas
522 M Nicol Bolas, Dragon-God
523 R Ral, Storm Conduit
524 R Sorin, Vengeful Bloodlord
525 R Tamiyo, Collector of Tales
526 R Teferi, Time Raveler
527 U Angrath, Captain of Chaos
528 U Ashiok, Dream Render
529 U Dovin, Hand of Control
530 U Huatli, the Sun's Heart
531 U Kaya, Bane of the Dead
532 U Kiora, Behemoth Beckoner
533 U Nahiri, Storm of Stone
534 U Saheeli, Sublime Artificer
535 U Samut, Tyrant Smasher
536 U Vraska, Swarm's Eminence
