Name:Main world
Name:Random Standard
Name:Random Pioneer
Name:Random Modern
Name:Random Commander
Name:Abeir Toril|Dir:Abeir Toril
Name:Alara|Dir:Alara
Name:Amonkhet|Dir:Amonkhet
Name:Arcavios|Dir:Arcavios
Name:Arda|Dir:Arda
Name:Arkhos|Dir:Arkhos
Name:Azgol|Dir:Azgol
Name:Bablovia|Dir:Bablovia
Name:Belenon|Dir:Belenon
Name:Bloomburrow|Dir:Bloomburrow
Name:Bolas's Meditation Realm|Dir:Bolas's Meditation Realm
Name:Capenna|Dir:Capenna
Name:Celesta|Dir:Celesta
Name:Dominaria|Dir:Dominaria
Name:Duskmourn|Dir:Duskmourn
Name:Echoir|Dir:Echoir
Name:Eldraine|Dir:Eldraine
Name:Equilor|Dir:Equilor
Name:Ergamon|Dir:Ergamon
Name:Fabacin|Dir:Fabacin
Name:Fiora|Dir:Fiora
Name:Gobakhan|Dir:Gobakhan
Name:Ikoria|Dir:Ikoria
Name:Innistrad|Dir:Innistrad
Name:Iquatana|Dir:Iquatana
Name:Ir|Dir:Ir
Name:Ixalan|Dir:Ixalan
Name:Kaladesh|Dir:Kaladesh
Name:Kaldheim|Dir:Kaldheim
Name:Kamigawa|Dir:Kamigawa
Name:Karsus|Dir:Karsus
Name:Kephalai|Dir:Kephalai
Name:Kinshala|Dir:Kinshala
Name:Kolbahan|Dir:Kolbahan
Name:Kylem|Dir:Kylem
Name:Kyneth|Dir:Kyneth
Name:Lorwyn|Dir:Lorwyn
Name:Luvion|Dir:Luvion
Name:Mechanus|Dir:Mechanus
Name:Mercadia|Dir:Mercadia
Name:Mirrodin/new Phyrexia|Dir:Mirrodin/new Phyrexia
Name:Moag|Dir:Moag
Name:Mongseng|Dir:Mongseng
Name:Muraganda|Dir:Muraganda
Name:Nine Hells|Dir:Nine Hells
Name:Phyrexia|Dir:Phyrexia
Name:Pyrulea|Dir:Pyrulea
Name:Rabiah|Dir:Rabiah
Name:Rath|Dir:Rath
Name:Ravnica|Dir:Ravnica
Name:Regatha|Dir:Regatha
Name:Segovia|Dir:Segovia
Name:Serra's Realm|Dir:Serra's Realm
Name:Shadowmoor|Dir:Shadowmoor
Name:Shandalar|Dir:Shandalar
Name:Shenmeng|Dir:Shenmeng
Name:Skalla|Dir:Skalla
Name:Tarkir|Dir:Tarkir
Name:The Abyss|Dir:The Abyss
Name:Theros|Dir:Theros
Name:Thunder Junction|Dir:Thunder Junction
Name:Ulgrotha|Dir:Ulgrotha
Name:Unnamed Roman Plane|Dir:Unnamed Roman Plane
Name:Valla|Dir:Valla
Name:Vryn|Dir:Vryn
Name:Wildfire|Dir:Wildfire
Name:Xerex|Dir:Xerex
Name:Zendikar|Dir:Zendikar
