Abbey Gargoyles|Gargouilles de l'abbaye|Créature: gargouille|Vol, protection contre le rouge
Abbey Matron|Mère abbesse|Créature: clerc|{W}, {T}: La Mère abbesse gagne +0/+3 jusqu'à la fin du tour.
Abduction|Rapt|Enchantement: aura|Quand le Rapt arrive en jeu, dégagez la créature enchantée.\nVous contrôlez la créature enchantée.\nQuand la créature enchantée est mise dans un cimetière, renvoyez cette créature en jeu sous le contrôle de son propriétaire.
Abeyance|Suspens|Ephémère|Jusqu'à la fin du tour, le joueur ciblé ne peut pas jouer d'éphémères, de rituels ou de capacités activées qui ne sont pas des capacités de mana.\nPiochez une carte.
Abjure|Abjuration|Ephémère|En tant que coût supplémentaire pour jouer l'Abjuration, sacrifiez un permanent bleu.\nContrecarrez le sort ciblé.
Aboroth|Aboroth|Créature: Aboroth|Entretien cumulatif - Mettez un marqueur -1/-1 sur l'Aboroth.
About Face|Demi-tour|Ephémère|Echangez la force et l'endurance de la créature ciblée jusqu'à la fin du tour.
Absolute Grace|Grâce suprême|Enchantement|Toutes les créatures ont la protection contre le noir.
Absolute Law|Loi suprême|Enchantement|Toutes les créatures ont la protection contre le rouge.
Abyssal Gatekeeper|Gardien de la porte des abysses|Créature: gardien de la porte|Quand le Gardien de la porte des abysses est mis dans un cimetière depuis le jeu, chaque joueur sacrifie une créature.
Abyssal Hunter|Chasseur des abysses|Créature: Humain et Assassin|{B}, {T}: Engagez la créature ciblée. Le Chasseur des abysses inflige à cette créature un nombre de blessures égal à la force du Chasseur des abysses.
Abyssal Nightstalker|Chassenuit des abysses|Créature: chassenuit|À chaque fois que le Chassenuit des abysses attaque et n'est pas bloqué, le joueur défenseur se défausse d'une carte.
Academy Rector|Recteur de l'académie|Créature: clerc|Quand le Recteur de l'académie est mis dans un cimetière depuis le jeu, vous pouvez retirer le Recteur de l'académie de la partie. Si vous faites ainsi, cherchez une carte d'enchantement dans votre bibliothèque et mettez cette carte en jeu. Mélangez ensuite votre bibliothèque.
Accumulated Knowledge|Connaissance accumulée|Ephémère|Piochez une carte, puis piochez autant de cartes que le nombre de cartes appelées Connaissance accumulée dans tous les cimetières.
