Abandon Hope|TMP=66
Abandoned Outpost|ODY=28
Abattoir Ghoul|ISD=18
Abbey Gargoyles|5ED=66
Abbey Gargoyles|HML=66
Abbey Griffin|ISD=13
Abbey Matron|HML=48
Abduction|6ED=72
Abduction|WTH=84
Abeyance|WTH=906
Abjure|WTH=48
Abolish|PCY=64
Abomination|4ED=76
Abomination|LEG=180
Aboroth|WTH=132
Aboshan's Desire|ODY=28
Aboshan, Cephalid Emperor|ODY=90
About Face|ULG=28
Abrupt Decay|RTR=624
Absolute Grace|USG=80
Absolute Law|USG=120
Absolver Thrull|GPT=12
Absorb Vis|CFX=15
Absorb|INV=618
Abu Ja'far|ARN=1556
Abu Ja'far|CHR=81
Abuna Acolyte|SOM=16
Abuna's Chant|5DN=24
Abundance|10E=89
Abundance|USG=180
Abundant Growth|AVR=19
Abyssal Gatekeeper|WTH=54
Abyssal Horror|7ED=88
Abyssal Horror|S99=172
Abyssal Horror|USG=82
Abyssal Hunter|6ED=92
Abyssal Hunter|MIR=120
Abyssal Nightstalker|PO2=68
Abyssal Nocturnus|GPT=92
Abyssal Persecutor|WWK=416
Abyssal Specter|5ED=84
Abyssal Specter|6ED=60
Abyssal Specter|7ED=60
Abyssal Specter|8ED=56
Abyssal Specter|ICE=102
Academy Rector|UDS=5040
Academy Researchers|10E=24
Academy Researchers|USG=48
Academy Ruins|TSP=1125
Accelerated Mutation|SCG=26
Accelerate|TOR=28
Acceptable Losses|ODY=28
Accorder Paladin|MBS=21
Accorder's Shield|SOM=12
Accumulated Knowledge|NMS=72
Accursed Centaur|ONS=26
Acid Rain|LEG=5412
Acid Web Spider|SOM=17
Acidic Dagger|MIR=108
Acidic Slime|COM=22
Acidic Slime|M11=24
Acidic Slime|M12=20
Acidic Slime|M13=21
Acidic Sliver|STH=92
Acidic Soil|USG=54
Acorn Catapult|COM=56
Acorn Harvest|TOR=32
Acquire|5DN=338
Acridian|USG=32
Act of Aggression|NPH=22
Act of Treason|GTC=14
Act of Treason|M11=15
Act of Treason|M12=14
Active Volcano|CHR=42
Active Volcano|LEG=76
Ad Nauseam|ALA=74
Adamaro, First to Desire|SOK=43
Adaptive Automaton|M12=195
Adaptive Snapjaw|GTC=14
Adarkar Sentinel|ICE=66
Adarkar Unicorn|ICE=39
Adarkar Valkyrie|CSP=889
Adarkar Wastes|10E=200
Adarkar Wastes|5ED=558
Adarkar Wastes|6ED=380
Adarkar Wastes|7ED=366
Adarkar Wastes|9ED=179
Adarkar Wastes|ICE=540
Adarkar Windform|CSP=20
Adder-Staff Boggart|LRW=13
Addle|INV=50
Admonition Angel|WWK=328
Adun Oakenshield|LEG=8564
Advance Scout|TMP=45
Advanced Hoverguard|5DN=26
Adventurers' Guildhouse|LEG=304
Adventuring Gear|ZEN=14
Advice from the Fae|SHM=18
AEther Adept|M12=12
AEther Vial|DST=3000
AEthersnipe|COM=13
AEthertow|SHM=14
Aegis Angel|M12=56
Aegis of Honor|ODY=208
Aegis of the Meek|ICE=120
Aeolipile|FEM=188
Aeon Chronicler|PLC=51
Aerathi Berserker|LEG=240
Aerial Caravan|MMQ=84
Aerial Maneuver|GTC=13
Aerial Predation|RTR=13
Aerie Mystics|CFX=18
Aerie Ouphes|EVE=14
Aesthir Glider|ALL=42
Aether Adept|M11=13
Aether Barrier|NMS=74
Aether Burst|ODY=32
Aether Charge|ONS=46
